公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,work_year,salary,月工资
深圳鑫科国际商业保理有限公司,鑫科国际,15-50人,A轮,南山区,python工程师,2.0,本科,7k-12k,年轻化团队,"['1', '3']","['7', '12']",8.25
万科物业发展股份有限公司,万科物业,2000人以上,不需要融资,福田区,高级Python开发,4.0,本科,15k-25k,"弹性工作,团队激情","['3', '5']","['15', '25']",17.5
北京瑞友科技股份有限公司,北京瑞友,2000人以上,上市公司,南山区,python开发工程师----c,2.0,本科,10k-15k,"五险一金,周末双休,朝九晚六,车补饭补","['1', '3']","['10', '15']",11.25
康美中药材数据信息服务有限公司,康美数据,50-150人,上市公司,福田区,Python工程师/数据工程师,2.0,本科,15k-30k,"数据挖掘,爬虫工程师","['1', '3']","['15', '30']",18.75
上海企企网络科技有限公司,上海企企网络科技有限公司,50-150人,天使轮,罗湖区,Python工程师,2.0,本科,7k-14k,福利杠杠的,"['1', '3']","['7', '14']",8.75
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,福田区,Python开发,2.0,本科,9k-16k,"上市公司,大型项目,年度调薪,薪资福利好","['1', '3']","['9', '16']",10.75
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,龙岗区,Python高级开发/python开发,4.0,大专,13k-25k,"双休,高薪,福利好","['3', '5']","['13', '25']",16.0
深圳市蝌蚪文科技有限公司,蝌蚪文,15-50人,不需要融资,福田区,python工程师,2.0,大专,14k-24k,"开发工程,爬虫,机器学习","['1', '3']","['14', '24']",16.5
顺丰科技有限公司,顺丰科技有限公司,500-2000人,不需要融资,南山区,Python开发,4.0,本科,20k-30k,"开发,能力论英雄","['3', '5']","['20', '30']",22.5
深圳市信亿互联网有限公司,深圳市信亿互联网有限公司,15-50人,不需要融资,龙岗区,Python开发,4.0,本科,15k-25k,ai,"['3', '5']","['15', '25']",17.5
妙印云科技（深圳）有限公司,妙印云,15-50人,不需要融资,南山区,开发工程师/Python,4.0,本科,14k-28k,自动化开发,"['3', '5']","['14', '28']",17.5
深圳市博悦科创科技有限公司,博悦科创,500-2000人,不需要融资,南山区,Python,2.0,本科,10k-16k,"五险一金,年底双薪,定期体检,员工旅游","['1', '3']","['10', '16']",11.5
亿达信息技术（深圳）有限公司,YIDATEC,2000人以上,不需要融资,南山区,python后台研发,4.0,本科,13k-15k,"六险一金,年终奖,班车,福利好","['3', '5']","['13', '15']",13.5
深圳市和美信息技术有限公司,和美信息,500-2000人,上市公司,南山区,Python软件工程师,4.0,本科,15k-25k,人工智能,"['3', '5']","['15', '25']",17.5
微网云（深圳）技术有限公司,微网云,50-150人,天使轮,罗湖区,python开发工程师,2.0,本科,10k-15k,"创业团队,期权","['1', '3']","['10', '15']",11.25
深圳宸睿科技有限公司,宸睿科技,少于15人,不需要融资,南山区,Python工程师,4.0,本科,9k-16k,双休、五险一金、免费旅游、晋升快、下午茶,"['3', '5']","['9', '16']",10.75
