公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,work_year,salary,月工资
北京闪银奇异科技有限公司,闪银奇异,500-2000人,D轮及以上,朝阳区,服务器端 Python 架构师,4.0,本科,25k-45k,"六险一金,补充医疗,福利年假,免费自助","['3', '5']","['25', '45']",30.0
恒爱高科（北京）科技有限公司,恒爱高科,15-50人,天使轮,海淀区,Python 后台工程师,1.0,本科,5k-10k,"潜力大,钱多,技术先进,有实力",['1'],"['5', '10']",6.25
北京易商迅达科技有限公司,易商迅达,15-50人,未融资,海淀区,985/211-JAVA/Python全栈中高级,7.5,本科,25k-50k,"发展潜力大,升值空间大,股权,产业链","['5', '10']","['25', '50']",31.25
本征投资（海南）有限公司,本征资本（EigenCapital）,15-50人,不需要融资,海淀区,高级Python量化工程师,4.0,本科,25k-50k,"高薪收入,内部培训,顶尖团队,弹性工作","['3', '5']","['25', '50']",31.25
北京灵犀联云科技有限公司,灵犀联云,50-150人,B轮,朝阳区,Python运维工程师,4.0,本科,15k-25k,"独立大量级,实践空间高,运维开发岗,运维开发岗","['3', '5']","['15', '25']",17.5
进化时代科技（北京）有限责任公司,进化时代,少于15人,A轮,海淀区,高级Python算法工程师,0.0,硕士,20k-40k,"数据驱动,人工智能,激励丰厚,七险一金",[],"['20', '40']",25.0
百融金融信息服务股份有限公司,百融金服,500-2000人,C轮,海淀区,高级python运维开发,4.0,本科,15k-30k,"带薪年假,绩效奖金,年底双薪,补充医疗","['3', '5']","['15', '30']",18.75
北京科达思教育科技有限公司,WeCode,15-50人,A轮,朝阳区,Python课程设计,2.0,本科,10k-20k,"13薪,年终奖,弹性工作,氛围好","['1', '3']","['10', '20']",12.5
北京联拓世纪管理咨询有限公司,联拓世纪,50-150人,未融资,海淀区,python/java高级后端开发工程师,4.0,本科,20k-40k,发展空间大。老板nice 弹性工作时间,"['3', '5']","['20', '40']",25.0
合一信息技术（北京）有限公司,合一信息技术（优酷）,500-2000人,上市公司,朝阳区,高级Python后端工程师,4.0,本科,25k-50k,"大牛多,成长快,专属福利","['3', '5']","['25', '50']",31.25
北京艺富科技有限公司,艺富,15-50人,未融资,昌平区,Python/C++算法工程师,2.0,本科,13k-25k,"五险一金,绩效奖金","['1', '3']","['13', '25']",16.0
联通大数据有限公司,联通大数据,50-150人,不需要融资,东城区,Python高级运维开发工程师,7.5,本科,15k-25k,"锻炼思维,偏平化管理,技能培训,地铁站旁","['5', '10']","['15', '25']",17.5
博易智软（北京）技术股份有限公司,博易智软,150-500人,上市公司,海淀区,数据挖掘/算法工程师(R或Python）,4.0,本科,15k-25k,"节日福利,餐补,年终奖,过节福利","['3', '5']","['15', '25']",17.5
上海清鹤科技股份有限公司,清鹤科技,150-500人,上市公司,昌平区,资深后台开发工程师（python/C/C++),7.5,本科,15k-25k,"老板nic,扁平化,团队活跃,年底奖金","['5', '10']","['15', '25']",17.5
北京粉笔未来科技有限公司,猿辅导,500-2000人,D轮及以上,朝阳区,python课程助教,2.0,本科,6k-9k,"发展空间大,福利待遇好,扁平管理,地铁周边","['1', '3']","['6', '9']",6.75
奇虎360科技有限公司,360,2000人以上,上市公司,朝阳区,Python高级服务端开发工程师,4.0,本科,30k-50k,"扁平化,职位空间大,薪资福利优,团队氛围好","['3', '5']","['30', '50']",35.0
北京挖优狗科技有限公司,挖优狗,少于15人,不需要融资,朝阳区,Python数据处理工程师,2.0,本科,10k-20k,"清华团队,金融科技,成长空间大,技术先进","['1', '3']","['10', '20']",12.5
博飞信息科技（上海）有限公司,博飞,15-50人,天使轮,朝阳区,云驱动Python开发高级工程师,7.5,本科,15k-30k,"地铁附近,扁平化管理,公司氛围好,股票期权","['5', '10']","['15', '30']",18.75
高德软件有限公司,阿里巴巴-高德,2000人以上,上市公司,朝阳区,python高级工程师/开发专家（共享出行）,4.0,本科,20k-40k,"阿里福利,工作氛围好","['3', '5']","['20', '40']",25.0
北京龙腾育才科技有限公司,龙腾育才,15-50人,未融资,,python讲师,7.5,大专,10K-15K,有底薪有提成,"['5', '10']","['10', '15']",11.25
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,数据平台研发（Python）工程师,4.0,本科,25k-45k,"氛围好,平台大","['3', '5']","['25', '45']",30.0
北京蜜莱坞网络科技有限公司,映客,500-2000人,C轮,朝阳区,c++/Python/Go......,4.0,本科,30k-50k,"大牛多,成长快,六险一金,专属健身房","['3', '5']","['30', '50']",35.0
